Device name,device type,device sub-type,location
Dell laptop 1,electronics,laptop,CTS
Dell laptop 2,electronics,laptop,CTS
Dell laptop 3,electronics,laptop,CTS
Dell laptop 4,electronics,laptop,CTS
Dell laptop 5,electronics,laptop,CTS
Dell laptop 6,electronics,laptop,CTS
Dell laptop 7,electronics,laptop,CTS
Dell laptop 8,electronics,laptop,CTS
Dell laptop 9,electronics,laptop,CTS
Dell laptop 10,electronics,laptop,CTS
Dell laptop 11,electronics,laptop,CTS
Dell laptop 12,electronics,laptop,CTS
Dell laptop 13,electronics,laptop,CTS
Dell laptop 14,electronics,laptop,CTS
Dell laptop 15,electronics,laptop,CTS
Dell laptop 16,electronics,laptop,CTS
Dell laptop 17,electronics,laptop,CTS
Dell laptop 18,electronics,laptop,CTS
Dell laptop 19,electronics,laptop,CTS
Dell laptop 20,electronics,laptop,CTS
Dell laptop 21,electronics,laptop,CTS
Dell laptop 22,electronics,laptop,CTS
Dell laptop 23,electronics,laptop,CTS
Dell laptop 24,electronics,laptop,CTS
Dell laptop 25,electronics,laptop,CTS
Dell laptop 26,electronics,laptop,CTS
Dell laptop 27,electronics,laptop,CTS
Dell laptop 28,electronics,laptop,CTS
Dell laptop 29,electronics,laptop,CTS
